date,KPI,GDN_Spend,GDN_IMP,FB_Spend,FB_IMP,Google_nonbrand_Spend,Google_nonbrand_IMP,Google_nonbrand_e_Spend,Google_nonbrand_e_IMP,Google_brand_spend,Google_brand_imp,YT_Spend,YT_IMP,radio_spend,radio_imp,tv60_imp,tv30_imp,tv15_imp,tv60_spend,tv30_spend,tv15_spend
1-Jan-13,132,282,"204,064",985,"114,373","1,290","11,357",,,83,"1,281",0,0,,,,,,,,
2-Jan-13,212,300,"267,370",851,"109,617","2,215","19,419",,,128,"2,211",0,0,,,,,,,,
3-Jan-13,213,356,"266,885",788,"99,235","2,014","19,395",,,184,"2,582",0,0,,,,,,,,
4-Jan-13,244,339,"367,992",731,"100,951","1,980","20,059",,,180,"2,356",0,0,,,,,,,,
5-Jan-13,217,326,"288,617","1,038","164,600","1,991","16,985",,,130,"1,827",0,0,,,,,,,,
6-Jan-13,209,361,"324,458","1,272","189,595","1,917","17,148",,,135,"1,919",0,0,,,,,,,,
7-Jan-13,527,331,"322,465","1,065","169,616","2,446","22,515",,,258,"3,475",0,0,,,,,,,,
8-Jan-13,483,363,"301,177","1,005","135,940","2,703","23,038",,,254,"3,514",0,0,,,,,,,,
9-Jan-13,480,311,"272,885","1,034","160,714","2,335","21,941",,,286,"3,481",0,0,,,,,,,,
10-Jan-13,425,297,"258,528","1,076","131,092","2,227","21,416",,,232,"3,431",0,0,,,,,,,,
11-Jan-13,389,330,"271,291",997,"134,226","2,165","20,173",,,202,"3,389",0,0,,,,,,,,
12-Jan-13,260,284,"238,819",966,"139,418","1,744","16,319",,,144,"2,121",0,0,,,,,,,,
13-Jan-13,221,292,"246,535","1,086","156,099","1,997","17,770",,,122,"2,157",0,0,,,,,,,,
14-Jan-13,550,290,"264,004","1,433","188,073","2,229","21,836",,,240,"3,688",0,0,,,,,,,,
15-Jan-13,392,351,"296,252","1,098","145,019","2,236","23,089",,,326,"4,083",0,0,,,,,,,,
16-Jan-13,480,374,"274,546",967,"130,392","2,061","22,711",,,267,"3,965",0,0,,,,,,,,
17-Jan-13,434,387,"293,660",963,"139,858","2,239","21,257",,,251,"3,997",0,0,,,,,,,,
18-Jan-13,336,317,"285,700",886,"124,234","2,043","19,917",,,234,"3,449",0,0,,,,,,,,
19-Jan-13,241,308,"255,880",915,"139,645","1,808","16,785",,,145,"2,096",0,0,,,,,,,,
20-Jan-13,182,280,"237,353","1,177","177,651","1,263","13,770",,,142,"2,354",0,0,,,,,,,,
21-Jan-13,321,303,"243,065","1,127","190,449","1,478","14,719",,,270,"3,906",0,0,,,,,,,,
22-Jan-13,344,288,"266,306","1,021","166,783","1,299","15,696",,,232,"3,795",0,0,,,,,,,,
23-Jan-13,291,329,"275,364","1,068","159,529","1,325","15,980",,,267,"3,973",0,0,,,,,,,,
24-Jan-13,246,324,"251,413","1,233","195,193","1,524","16,838",,,215,"3,577",0,0,,,,,,,,
25-Jan-13,222,260,"230,787",909,"137,195","1,323","15,693",,,196,"3,329",0,0,,,,,,,,
26-Jan-13,195,252,"202,230",871,"122,585","1,434","15,097",,,105,"2,238",0,0,,,,,,,,
27-Jan-13,216,261,"200,423",866,"133,912","1,315","14,270",,,143,"2,275",0,0,,,,,,,,
28-Jan-13,314,307,"260,611",885,"120,508","1,167","14,640",,,181,"2,965",0,0,,,,,,,,
29-Jan-13,264,336,"303,057",662,"86,415","1,290","14,367",,,198,"3,381",0,0,,,,,,,,
30-Jan-13,247,297,"261,361",525,"74,228","1,444","13,671",,,174,"3,160",0,0,,,,,,,,
31-Jan-13,347,291,"220,866",709,"114,295","1,315","14,120",,,201,"3,266",0,0,,,,,,,,
1-Feb-13,255,242,"212,265",630,"84,830","1,527","17,477",,,183,"2,854",0,0,,,,,,,,
2-Feb-13,202,220,"188,199",654,"97,762","1,294","15,962",,,140,"2,179",0,0,,,,,,,,
3-Feb-13,189,230,"181,334",693,"105,747","1,358","14,553",,,123,"2,238",0,0,,0,0,0,0,0,0,0
4-Feb-13,360,231,"192,107",786,"110,329","1,548","15,437",,,199,"3,298",0,0,,,,,,,,
5-Feb-13,322,285,"216,623",629,"102,334","1,684","16,684",,,226,"3,861",0,0,,,,,,,,
6-Feb-13,381,259,"200,539","1,214","177,733","1,653","18,300",,,221,"3,606",0,0,,,,,,,,
7-Feb-13,363,240,"193,980","1,292","192,105","1,499","17,794",,,199,"3,365",0,0,,,,,,,,
8-Feb-13,304,299,"218,791","1,151","179,441","1,637","19,071",,,176,"3,198",0,0,,,,,,,,
9-Feb-13,227,228,"186,376","1,076","159,464","1,435","15,416",,,133,"2,350",0,0,,,,,,,,
10-Feb-13,240,199,"184,865","1,166","164,899","1,484","15,237",,,124,"2,362",0,0,,,,,,,,
11-Feb-13,388,264,"207,303","1,155","174,032","1,629","18,021",,,183,"3,325",0,0,,,,,,,,
12-Feb-13,433,239,"213,445","1,184","167,385","1,573","18,474",,,204,"3,540",0,0,,,,,,,,
13-Feb-13,333,294,"216,425","1,083","162,987","1,709","18,367",,,198,"3,471",0,0,,,,,,,,
14-Feb-13,327,251,"197,995","1,145","192,907","1,364","17,700",,,170,"3,067",0,0,,,,,,,,
15-Feb-13,414,244,"191,751","1,058","149,489","1,357","16,652",,,163,"2,825",0,0,,,,,,,,
16-Feb-13,254,237,"177,726","1,051","157,960","1,342","15,526",,,123,"2,217",0,0,,,,,,,,
17-Feb-13,251,235,"188,957",911,"155,399","1,589","16,474",,,130,"2,142",0,0,,,,,,,,
18-Feb-13,410,267,"206,821",977,"149,788","1,663","19,739",,,163,"3,023",0,0,,,,,,,,
19-Feb-13,468,263,"223,247",766,"109,634","1,715","20,067",,,231,"3,806",0,0,,,,,,,,
20-Feb-13,393,265,"213,074",576,"81,107","1,722","19,417",,,233,"3,445",0,0,,,,,,,,
21-Feb-13,430,267,"232,402",661,"96,359","1,644","19,207",,,219,"3,217",0,0,,,,,,,,
22-Feb-13,350,279,"216,748",586,"69,518","1,627","17,966",,,165,"2,943",0,0,,,,,,,,
23-Feb-13,250,232,"181,411",720,"97,776","1,430","16,558",,,133,"2,334",0,0,,,,,,,,
24-Feb-13,275,241,"182,431",933,"180,015","1,479","16,546",,,148,"2,455",0,0,,,,,,,,
25-Feb-13,503,268,"200,002",791,"145,649","1,503","18,907",,,249,"3,626",0,0,,,,,,,,
26-Feb-13,437,336,"232,437",968,"147,178","1,814","20,506",,,238,"3,649",0,0,,,,,,,,
27-Feb-13,467,308,"224,467","1,232","193,013","1,904","20,915",,,259,"3,645",0,0,,,,,,,,
28-Feb-13,377,369,"233,307",941,"154,782","1,665","19,542",,,217,"3,445",0,0,,,,,,,,
1-Mar-13,343,359,"262,335",762,"131,746","1,494","17,925",,,172,"2,895",0,0,,,,,,,,
2-Mar-13,244,348,"238,083",789,"162,279","1,590","16,374",,,148,"2,413",0,0,,,,,,,,
3-Mar-13,289,333,"252,291","1,260","192,512","1,637","17,320",,,144,"2,292",0,0,,,,,,,,
4-Mar-13,445,388,"295,119",984,"147,292","1,724","20,448",,,188,"3,217",0,0,,,,,,,,
5-Mar-13,469,354,"281,544",958,"160,165","1,784","20,698",,,191,"3,087",0,0,,,,,,,,
6-Mar-13,463,290,"228,496","1,030","183,564","1,832","19,414",,,175,"3,060",0,0,,,,,,,,
7-Mar-13,457,224,"169,815",914,"146,865","1,555","18,881",,,177,"2,768",0,0,,,,,,,,
8-Mar-13,339,151,"106,670",675,"108,903","1,672","17,869",,,165,"2,663",0,0,,,,,,,,
9-Mar-13,271,149,"88,158",663,"107,055","1,431","15,130",,,125,"2,032",0,0,,,,,,,,
10-Mar-13,277,146,"95,933",714,"121,195","1,454","15,854",,,123,"2,119",0,0,,,,,,,,
11-Mar-13,363,177,"113,359","1,040","191,537","1,790","19,360",,,217,"3,030",0,0,,,,,,,,
12-Mar-13,353,226,"135,665",814,"154,045","1,650","19,308",,,189,"3,010",0,0,,,,,,,,
