"map_publisher","channel"
"4music","paidtelevision"
"4seven","paidtelevision"
"5paidtelevision","paidtelevision"
"5paidtelevisionplus1","paidtelevision"
"5select","paidtelevision"
"5spike","paidtelevision"
"5star","paidtelevision"
"5starplus1","paidtelevision"
"5tv","paidtelevision"
"5tvplus1","paidtelevision"
"5usa","paidtelevision"
"5usaplus1","paidtelevision"
"92news","paidtelevision"
"aajtak","paidtelevision"
"alibi","paidtelevision"
"alibiplus1","paidtelevision"
"amc","paidtelevision"
"andpaidtelevision","paidtelevision"
"andtv","paidtelevision"
"angl3plus1","paidtelevision"
"anglia3","paidtelevision"
"anglia3h","paidtelevision"
"anglw3","paidtelevision"
"animal","paidtelevision"
"animalplus1","paidtelevision"
"aryfamil","paidtelevision"
"axiom","paidtelevision"
"b4umovie","paidtelevision"
"b4umusic","paidtelevision"
"bauercitynetworktrading","paidradio"
"ben","paidtelevision"
"bet","paidtelevision"
"bigtop40show","paidradio"
"blaze","paidtelevision"
"boom","paidtelevision"
"boomplus1","paidtelevision"
"border3","paidtelevision"
"box","paidtelevision"
"boxhits","paidtelevision"
"boxup","paidtelevision"
"britasia","paidtelevision"
"btspespn","paidtelevision"
"btsport1","paidtelevision"
"btsport2","paidtelevision"
"btsport3","paidtelevision"
"btspshow","paidtelevision"
"c4englnd","paidtelevision"
"c4engplus1","paidtelevision"
"c4gb","paidtelevision"
"c4gbplus1","paidtelevision"
"c4london","paidtelevision"
"c4lonplus1","paidtelevision"
"c4ls","paidtelevision"
"c4lsm","paidtelevision"
"c4lsmplus1","paidtelevision"
"c4lsplus1","paidtelevision"
"c4mids","paidtelevision"
"c4midsplus1","paidtelevision"
"c4norplus1","paidtelevision"
"c4north","paidtelevision"
"c4paidtelevision","paidtelevision"
"c4paidtelevisionplus1","paidtelevision"
"c4scot","paidtelevision"
"c4scotplus1","paidtelevision"
"c4sh","paidtelevision"
"c4souplus1","paidtelevision"
"c4south","paidtelevision"
"c4tv","paidtelevision"
"c4tvplus1","paidtelevision"
"c4ulster","paidtelevision"
"c4ulstplus1","paidtelevision"
"caction","paidtelevision"
"capital","paidtelevision"
"capitalairtimetrading","paidradio"
"capitalbirminghamairtimetrading","paidradio"
"capitaleastmidlandsderbyshireairtimetrading","paidradio"
"capitaleastmidlandsleicestershireairtimetrading","paidradio"
"capitaleastmidlandsnottinghamshireairtimetrading","paidradio"
"capitalliverpoolairtimetrading","paidradio"
"capitallondonairtimetrading","paidradio"
"capitalmanchesterairtimetrading","paidradio"
"capitalnortheastairtimetrading","paidradio"
"capitalnorthwestandwalesairtimetrading","paidradio"
"capitalscotlandairtimetrading","paidradio"
"capitalsouthcoastairtimetrading","paidradio"
"capitalsouthwalesairtimetrading","paidradio"
"capitalxtraairtimetrading","paidradio"
"capitalxtralondonairtimetrading","paidradio"
"capitalyorkshireairtimetrading","paidradio"
"carlton","paidtelevision"
"cartnito","paidtelevision"
"cartoon","paidtelevision"
"cartoonplus","paidtelevision"
"cdrama","paidtelevision"
"ceast3","paidtelevision"
"cen3plus1","paidtelevision"
"central3","paidtelevision"
"centrl3h","paidtelevision"
"challnge","paidtelevision"
"chan44","paidtelevision"
"chanaka","paidtelevision"
"chans24","paidtelevision"
"chart","paidtelevision"
"chilled","paidtelevision"
"chshowh","paidtelevision"
"chstarz","paidtelevision"
"clubland","paidtelevision"
"clubmpaidtelevision","paidtelevision"
"colors","paidtelevision"
"comcen","paidtelevision"
"comcene","paidtelevision"
"comceneplus","paidtelevision"
"comcenplus1","paidtelevision"
"creality","paidtelevision"
"crimin","paidtelevision"
"cwest3","paidtelevision"
"dave","paidtelevision"
"davejavu","paidtelevision"
"dax","paidradio"
"discover","paidtelevision"
"discovplus1","paidtelevision"
"disney","paidtelevision"
"disneyplus1","paidtelevision"
"disneyxd","paidtelevision"
"disneyxplus","paidtelevision"
"disnyjnr","paidtelevision"
"disnyjrplus","paidtelevision"
"disnypuc","paidtelevision"
"disnysh","paidtelevision"
"displayappnexus","paiddisplay"
"displaycriteo","paiddisplay"
"displaydynamicx","paiddisplay"
"displaynanigans","paiddisplay"
"displaytapcommerce","paiddisplay"
"dmax","paidtelevision"
"dmaxplus1","paidtelevision"
"drama","paidtelevision"
"dschandh","paidtelevision"
"dschandhplus1","paidtelevision"
"dscinves","paidtelevision"
"dscinvplus1","paidtelevision"
"dscsci","paidtelevision"
"dscsciplus1","paidtelevision"
"dscshed","paidtelevision"
"dscsheplus1","paidtelevision"
"dsturbo","paidtelevision"
"e4","paidtelevision"
"e4plus1","paidtelevision"
"eden","paidtelevision"
"edenplus1","paidtelevision"
"eexclamationmark","paidtelevision"
"eexclamationmarkplus1","paidtelevision"
"esimedia","paidtelevision"
"exterion","paidoutofhome"
"facebook","paidsocial"
"film4","paidtelevision"
"film4plus1","paidtelevision"
"flava","paidtelevision"
"foodnet","paidtelevision"
"foodnetplus","paidtelevision"
"forcespaidtelevision","paidtelevision"
"fox","paidtelevision"
"foxplus","paidtelevision"
"frontrun","paidtelevision"
"geoent","paidtelevision"
"geokahan","paidtelevision"
"geonews","paidtelevision"
"gold","paidtelevision"
"goodfood","paidtelevision"
"goodfooplus","paidtelevision"
"granad3h","paidtelevision"
"granada3","paidtelevision"
"grb3","paidtelevision"
"grb3h","paidtelevision"
"grb3plus1","paidtelevision"
"heart","paidtelevision"
"heartairtimetrading","paidradio"
"heartcambridgeshiretrading","paidradio"
"hearteastanglianorfolktrading","paidradio"
"hearteastangliasuffolktrading","paidradio"
"heartessexchelmsfordsouthendtrading","paidradio"
